PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Montrezl_Harrell,CHA,28,55,25,30,24.6,14.1,5.4,8.5,63.5,0.1,0.3,25.0,3.3,4.6,70.8,2.2,4.6,6.8,2.1,1.1,0.4,0.7,2.0,27.3,7,0,1.0
Bogdan_Bogdanovic,ATL,29,45,22,23,29.3,14.1,5.2,11.8,43.9,2.6,6.9,37.5,1.2,1.5,81.8,0.4,3.6,4.0,2.9,1.1,1.0,0.2,2.0,25.8,0,0,1.7
Dennis_Schroder,HOU,28,55,28,27,29.4,14.0,5.1,11.8,42.9,1.3,4.0,33.6,2.5,2.9,85.1,0.6,2.9,3.5,4.6,2.3,0.8,0.1,2.5,25.5,1,0,-0.1
PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Kevin_Love,CLE,33,56,31,25,22.3,14.0,4.4,10.4,42.0,2.5,6.3,39.2,2.7,3.2,85.5,1.1,6.1,7.2,2.2,1.2,0.3,0.2,1.2,26.4,10,0,2.8
Eric_Gordon,HOU,33,52,16,36,29.6,13.9,4.9,10.3,47.5,2.2,5.4,41.1,1.9,2.5,76.6,0.3,1.8,2.0,2.8,2.0,0.5,0.3,1.1,21.1,0,0,-3.9
Josh_Hart,POR,27,47,19,28,33.3,13.9,4.9,9.7,50.4,1.1,3.5,32.5,2.9,3.9,75.3,1.2,6.2,7.4,4.1,2.1,1.1,0.3,2.9,31.0,12,0,-2.4
Lauri_Markkanen,CLE,24,44,25,19,30.3,13.9,4.9,11.5,42.6,2.1,6.0,34.2,2.0,2.3,85.4,1.0,4.5,5.5,1.4,0.9,0.7,0.5,1.8,25.5,2,0,4.0
Derrick_White,BOS,27,59,28,31,29.5,13.9,4.8,11.2,42.4,1.6,5.1,30.7,2.8,3.2,86.2,0.6,2.9,3.5,5.1,1.7,1.0,0.9,2.3,29.6,2,0,1.6
Kevin_Porter_Jr.,HOU,21,43,12,31,30.3,13.8,4.8,12.0,39.8,2.3,6.1,37.1,2.0,3.3,59.2,0.7,3.2,3.9,6.1,3.4,1.2,0.3,2.6,28.6,5,0,-4.8
Mike_Conley,UTA,34,56,38,18,28.3,13.6,4.7,10.9,43.2,2.3,5.8,40.3,1.9,2.3,82.7,0.6,2.5,3.1,5.3,1.7,1.3,0.3,1.9,28.4,2,0,5.3
Carmelo_Anthony,LAL,37,55,25,30,26.7,13.6,4.7,10.5,44.5,2.3,5.9,39.1,2.0,2.4,83.3,0.9,3.3,4.2,1.0,0.9,0.8,0.8,2.3,24.1,1,0,0.3
Coby_White,CHI,22,44,26,18,28.1,13.6,4.9,10.8,45.1,2.4,5.9,40.3,1.5,1.8,84.4,0.3,2.8,3.0,3.0,1.1,0.5,0.2,2.3,22.6,1,0,0.8
Mikal_Bridges,PHX,25,64,51,13,34.9,13.5,5.4,10.1,53.3,1.4,3.8,36.6,1.4,1.6,83.7,1.0,3.3,4.3,2.3,0.8,1.2,0.4,1.9,26.1,0,0,6.7
LaMarcus_Aldridge,BKN,36,45,24,21,22.8,13.5,5.6,10.1,55.4,0.3,1.0,31.1,2.0,2.3,87.3,1.6,4.0,5.6,0.9,0.9,0.3,1.0,1.6,24.6,2,0,0.8
Jakob_Poeltl,SAS,26,53,21,32,29.3,13.5,6.1,9.8,61.9,0.0,0.0,100,1.3,2.8,46.6,3.8,5.3,9.1,3.0,1.6,0.8,1.8,3.1,34.8,21,0,2.2
Kyle_Lowry,MIA,35,48,32,16,34.3,13.4,4.4,10.4,42.5,2.2,6.1,35.6,2.4,2.8,85.3,0.6,4.1,4.6,7.9,2.9,1.2,0.3,2.8,32.3,14,2,4.2
Spencer_Dinwiddie,DAL,28,51,26,25,30.0,13.3,4.5,11.2,40.2,1.6,5.0,32.2,2.7,3.4,79.2,0.7,3.6,4.4,5.7,1.6,0.6,0.2,2.4,27.8,7,1,-1.1
Chris_Duarte,IND,24,52,20,32,28.3,13.3,4.9,11.4,43.4,1.7,4.7,36.5,1.7,2.1,79.6,0.7,3.4,4.1,2.2,1.7,1.1,0.2,1.7,23.4,0,0,-0.8
Ricky_Rubio,IND,31,34,20,14,28.5,13.1,4.4,12.1,36.3,1.7,5.1,33.9,2.6,3.0,85.4,0.4,3.7,4.1,6.6,2.6,1.4,0.2,2.2,30.3,5,0,5.4
De'Andre_Hunter,ATL,24,35,17,18,29.5,13.0,4.7,10.6,44.1,1.4,3.7,38.3,2.2,3.0,74.3,0.5,2.7,3.3,1.3,1.3,0.7,0.3,3.0,20.5,1,0,-0.5
Lonzo_Ball,CHI,24,35,22,13,34.6,13.0,4.6,10.9,42.3,3.1,7.4,42.3,0.6,0.8,75.0,1.0,4.4,5.4,5.1,2.3,1.8,0.9,2.4,32.9,3,1,2.3
Myles_Turner,IND,25,42,15,27,29.4,12.9,4.8,9.4,50.9,1.5,4.4,33.3,1.9,2.5,75.2,1.5,5.5,7.1,1.0,1.3,0.7,2.8,2.8,32.1,9,0,-0.3
Cameron_Johnson,PHX,26,60,48,12,26.3,12.8,4.4,9.2,47.5,2.7,5.9,44.8,1.5,1.7,87.3,0.6,3.5,4.1,1.5,0.6,0.8,0.2,1.7,22.6,0,0,4.5
Monte_Morris,DEN,26,58,34,24,29.9,12.7,5.1,10.6,47.9,1.7,4.3,38.6,0.9,1.0,86.7,0.4,2.6,2.9,4.3,1.0,0.7,0.2,1.2,24.3,0,0,4.7
Malik_Monk,LAL,24,57,27,30,27.3,12.7,4.6,10.1,46.2,2.2,5.6,39.5,1.2,1.5,76.7,0.5,2.9,3.3,2.6,1.4,0.8,0.4,1.6,22.7,1,0,2.4
Devonte'_Graham,NOP,27,60,26,34,29.9,12.6,4.1,11.5,36.0,2.7,7.9,34.4,1.6,2.0,83.1,0.5,2.0,2.5,4.3,1.5,0.9,0.2,1.4,23.8,0,0,0.5
Patty_Mills,BKN,33,64,32,32,30.4,12.6,4.4,10.6,41.7,3.0,7.3,41.4,0.7,0.8,81.1,0.2,1.8,2.1,2.5,1.0,0.7,0.3,1.4,20.7,0,0,0.9
Jalen_Suggs,ORL,20,43,13,30,28.0,12.5,4.4,12.0,36.6,0.9,4.1,22.6,2.8,3.7,76.7,0.6,3.1,3.7,4.5,3.1,1.3,0.4,3.1,25.6,2,0,-4.4
Josh_Giddey,OKC,19,54,17,37,31.5,12.5,5.2,12.4,41.9,1.0,3.9,26.3,1.0,1.5,70.9,1.8,6.0,7.8,6.4,3.2,0.9,0.4,1.6,32.2,16,4,-5.5
Jae'Sean_Tate,HOU,26,62,16,46,27.0,12.4,4.9,9.6,50.7,0.8,2.7,30.3,1.9,2.6,71.2,1.7,3.9,5.6,3.1,1.9,1.0,0.5,3.7,26.4,7,0,-5.7
Kentavious_Caldwell-Pope,WAS,29,60,28,32,29.8,12.3,4.3,10.3,41.9,2.1,5.3,39.4,1.5,1.7,90.2,0.5,2.8,3.3,1.9,1.2,1.1,0.4,1.7,22.1,1,0,-3.2
Malik_Beasley,MIN,25,64,36,28,25.0,12.2,4.3,11.2,38.6,3.0,8.2,36.9,0.5,0.7,75.6,0.4,2.5,2.9,1.4,0.6,0.5,0.2,1.2,19.2,0,0,-0.3
Nickeil_Alexander-Walker,UTA,23,54,22,32,24.7,12.0,4.4,11.8,37.5,1.8,5.7,31.2,1.4,1.9,73.3,0.7,2.4,3.1,2.6,1.6,0.8,0.4,1.6,21.4,2,0,-2.3
Lonnie_Walker_IV,SAS,23,59,22,37,23.1,12.0,4.5,11.0,41.0,1.5,4.9,30.9,1.5,1.9,78.6,0.3,2.3,2.5,2.2,1.1,0.6,0.3,1.5,20.0,0,0,-1.1
Derrick_Rose,NYK,33,26,11,15,24.5,12.0,4.7,10.5,44.5,1.4,3.5,40.2,1.2,1.2,96.8,0.8,2.2,3.0,4.0,1.5,0.8,0.5,0.6,23.9,0,0,3.5
Marcus_Smart,BOS,28,56,36,20,32.8,11.9,4.1,9.9,41.4,1.6,4.9,32.6,2.1,2.7,79.2,0.6,3.3,3.9,5.6,2.1,1.7,0.3,2.4,28.8,1,0,6.1
Devin_Vassell,SAS,21,56,21,35,26.3,11.8,4.5,10.5,43.3,1.8,5.2,34.6,0.9,1.1,81.3,0.6,3.7,4.3,1.8,0.8,0.9,0.7,2.1,23.7,1,0,0.8
Kemba_Walker,NYK,31,37,16,21,25.6,11.6,4.0,10.0,40.3,2.0,5.4,36.7,1.6,1.9,84.5,0.4,2.6,3.0,3.5,1.3,0.7,0.2,1.0,21.9,1,1,-4.9
Luke_Kennard,LAC,25,55,28,27,27.5,11.6,4.0,8.9,44.5,2.7,6.1,45.0,0.9,1.0,87.5,0.2,3.2,3.5,2.1,0.9,0.6,0.1,1.5,20.2,1,0,2.5
Doug_McDermott,SAS,30,48,20,28,24.4,11.6,4.3,9.4,46.2,2.2,5.1,42.7,0.7,0.9,79.1,0.4,2.0,2.4,1.3,0.8,0.3,0.1,1.6,16.7,0,0,-0.6
Kevin_Huerter,ATL,23,56,28,28,29.1,11.5,4.5,9.9,45.8,1.9,5.1,37.5,0.6,0.7,79.5,0.4,2.8,3.2,2.7,1.2,0.7,0.4,2.4,21.3,1,0,2.7
Cameron_Oliver,ATL,25,2,1,1,21.7,11.5,5.0,7.5,66.7,0.5,1.5,33.3,1.0,1.5,66.7,1.0,2.0,3.0,1.5,0.0,0.5,0.5,2.5,20.4,0,0,-1.0
Cedi_Osman,CLE,26,52,32,20,23.4,11.4,4.0,9.3,42.8,2.1,5.8,36.5,1.4,2.1,65.7,0.4,1.8,2.2,2.1,1.1,0.9,0.2,1.9,19.2,0,0,0.2
Garrison_Mathews,HOU,25,47,15,32,27.5,11.4,3.2,7.8,41.4,2.4,6.4,37.1,2.5,3.1,80.8,0.5,2.7,3.3,1.0,0.7,0.8,0.3,2.9,19.2,0,0,-3.0
Joe_Harris,BKN,30,14,10,4,30.2,11.3,4.0,8.9,45.2,2.9,6.3,46.6,0.4,0.4,83.3,0.4,3.6,4.0,1.0,1.1,0.5,0.1,2.2,18.4,0,0,1.1
Gary_Harris,ORL,27,56,13,43,28.8,11.3,4.0,9.2,43.5,1.9,5.0,38.1,1.4,1.6,86.5,0.6,1.4,2.0,1.9,1.0,0.9,0.1,1.8,18.6,0,0,-4.0
Grayson_Allen,MIL,26,54,35,19,27.7,11.3,3.9,9.1,43.1,2.4,6.2,39.4,1.0,1.2,85.7,0.5,2.9,3.3,1.5,0.6,0.8,0.3,1.5,20.2,0,0,4.0
Duncan_Robinson,MIA,27,62,42,20,26.8,11.2,3.8,9.6,39.6,3.0,8.1,36.5,0.6,0.8,83.3,0.4,2.5,2.9,1.6,0.9,0.6,0.2,2.7,18.5,0,0,1.7
Brandon_Williams,POR,22,6,0,6,16.2,11.2,3.7,6.8,53.7,1.0,2.3,42.9,2.8,3.8,73.9,0.3,1.2,1.5,1.8,1.5,0.2,0.0,1.5,14.7,0,0,-5.8
Alec_Burks,NYK,30,63,26,37,27.1,11.0,3.3,8.6,38.3,1.8,4.5,39.2,2.7,3.3,81.5,0.6,4.0,4.6,2.7,1.0,1.0,0.3,2.4,23.7,0,0,0.3
Hamidou_Diallo,DET,23,57,14,43,22.0,11.0,4.5,9.1,49.4,0.4,1.6,24.7,1.6,2.5,65.0,1.2,3.6,4.8,1.3,1.0,1.2,0.3,2.5,22.1,5,0,-4.0
Richaun_Holmes,SAC,28,42,15,27,24.5,10.8,4.6,6.8,66.9,0.0,0.1,40.0,1.6,2.1,77.5,2.1,5.2,7.3,1.1,1.3,0.4,0.9,3.0,23.9,8,0,-3.0
Cameron_Payne,PHX,27,43,35,8,21.0,10.8,4.1,10.1,40.3,1.1,3.4,33.3,1.5,1.7,85.3,0.4,2.3,2.7,4.1,1.9,0.6,0.3,2.0,21.1,1,0,1.8
PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Danilo_Gallinari,ATL,33,52,26,26,24.2,10.8,3.4,8.2,41.6,1.6,4.1,38.3,2.3,2.6,90.3,0.6,4.0,4.5,1.3,0.6,0.5,0.2,1.5,19.6,0,0,1.3
Justin_Holiday,SAC,32,59,20,39,28.9,10.7,3.8,9.4,40.1,2.5,6.8,36.6,0.7,0.8,83.7,0.4,2.3,2.7,1.8,1.0,0.8,0.4,2.2,19.2,0,0,-1.5
Max_Strus,MIA,25,52,36,16,23.7,10.7,3.7,8.5,43.6,2.6,6.5,40.4,0.7,0.9,76.6,0.4,2.7,3.1,1.3,0.8,0.4,0.2,1.7,17.5,0,0,2.1
Frank_Jackson,DET,23,44,6,38,22.3,10.7,3.8,9.2,40.9,1.8,5.5,32.0,1.4,1.8,79.5,0.3,1.3,1.6,1.0,0.8,0.5,0.2,1.8,15.4,0,0,-5.1
Clint_Capela,ATL,27,55,28,27,27.9,10.7,4.8,8.0,59.3,0.0,0.0,0.0,1.1,2.4,47.0,3.8,8.3,12.1,1.3,0.6,0.7,1.4,2.2,32.6,26,0,0.9
Terance_Mann,LAC,25,65,33,32,29.0,10.6,4.1,8.5,48.6,1.0,2.6,37.1,1.4,1.8,76.1,1.3,4.1,5.4,2.5,1.0,0.8,0.2,2.2,22.5,5,0,0.5
Frank_Kaminsky,PHX,28,9,8,1,20.1,10.6,4.0,7.3,54.5,0.6,1.7,33.3,2.0,2.2,90.0,1.2,3.3,4.6,1.4,0.6,0.9,0.8,1.6,22.6,0,0,4.3
Dorian_Finney-Smith,DAL,28,63,39,24,33.0,10.5,3.9,8.5,45.4,2.0,5.2,38.4,0.8,1.1,67.6,1.6,3.3,4.9,1.9,1.1,1.2,0.5,2.3,23.1,1,0,2.8
Terence_Davis,SAC,24,30,11,19,17.9,10.4,3.8,8.9,42.3,1.6,5.0,32.9,1.2,1.5,81.8,0.4,2.8,3.1,1.3,1.1,0.8,0.4,2.3,18.6,0,0,2.0
Cam_Reddish,NYK,22,48,19,29,20.8,10.3,3.4,8.4,40.5,1.4,3.8,35.9,2.1,2.3,90.2,0.5,1.6,2.1,1.0,1.2,1.0,0.3,1.2,16.9,0,0,-4.4
Jeff_Green,DEN,35,60,36,24,24.6,10.3,3.7,7.3,50.5,0.7,2.4,31.0,2.2,2.6,84.2,0.5,2.6,3.1,1.3,1.0,0.3,0.4,2.1,17.1,1,0,0.9
Brandon_Clarke,MEM,25,51,34,17,19.3,10.3,4.4,6.8,64.5,0.1,0.4,20.0,1.4,2.1,64.8,2.1,3.4,5.4,1.4,0.5,0.5,1.0,1.8,23.1,2,0,2.0
Al_Horford,BOS,35,56,35,21,28.8,10.3,3.9,8.6,45.2,1.3,4.0,31.9,1.2,1.5,84.1,1.6,6.0,7.6,3.4,1.0,0.6,1.4,1.9,29.4,12,0,4.5
Terrence_Ross,ORL,31,55,12,43,23.7,10.2,3.6,8.9,40.3,1.3,4.1,30.8,1.8,2.1,86.8,0.3,2.2,2.6,1.9,1.3,0.5,0.2,1.1,17.0,0,0,-6.0
Mo_Bamba,ORL,23,54,13,41,26.1,10.2,4.1,8.5,47.6,1.3,3.6,34.5,0.9,1.0,82.1,2.1,5.8,7.9,1.2,1.2,0.6,1.8,2.6,27.4,12,0,-6.2
P.J._Washington,CHA,23,48,22,26,26.0,10.1,3.6,8.0,45.5,1.8,4.9,37.3,1.0,1.4,72.3,1.3,4.2,5.5,2.0,1.3,0.8,0.9,2.5,23.6,2,0,1.1
Pat_Connaughton,MIL,29,54,34,20,27.0,10.1,3.6,7.7,46.7,2.3,5.7,40.7,0.6,0.7,81.1,0.7,3.7,4.4,1.2,0.6,0.9,0.3,1.4,20.2,0,0,-0.1
Trey_Lyles,SAC,26,59,13,46,18.8,10.0,3.3,7.2,46.6,0.8,2.7,30.4,2.5,3.2,78.5,1.1,3.5,4.6,1.1,1.0,0.4,0.5,1.7,18.6,1,0,-2.8
Brandon_Knight,DAL,30,3,1,2,18.2,10.0,3.0,6.7,45.0,1.3,4.3,30.8,2.7,2.7,100,0.0,2.3,2.3,2.7,1.3,0.3,0.0,1.7,16.5,0,0,2.0
Ivica_Zubac,LAC,24,60,32,28,24.2,10.0,3.9,6.0,65.0,0.0,0.0,0.0,2.3,3.1,71.8,2.7,5.5,8.2,1.4,1.5,0.5,1.0,2.6,24.9,18,0,-1.9
Robert_Williams_III,BOS,24,53,33,20,30.2,10.0,4.4,6.1,72.5,0.0,0.0,0.0,1.1,1.5,72.0,3.9,5.9,9.8,2.0,1.1,0.9,2.2,2.2,33.2,22,1,5.1
Davion_Mitchell,SAC,23,59,22,37,25.6,9.9,4.1,10.3,40.0,1.3,4.2,30.8,0.5,0.8,58.7,0.5,1.7,2.2,3.3,1.2,0.7,0.3,1.8,19.4,0,0,-2.9
Eric_Bledsoe,POR,32,54,27,27,25.2,9.9,3.6,8.7,42.1,0.9,3.0,31.3,1.6,2.2,76.1,0.5,2.9,3.4,4.2,2.1,1.3,0.4,1.6,22.9,2,0,-0.7
Michael_Porter_Jr.,DEN,23,9,5,4,29.4,9.9,4.1,11.4,35.9,1.1,5.3,20.8,0.6,1.0,55.6,1.0,5.6,6.6,1.9,1.3,1.1,0.2,1.8,23.3,1,0,6.4
De'Anthony_Melton,MEM,23,57,37,20,22.7,9.8,3.5,9.2,38.5,1.6,4.6,33.7,1.2,1.6,72.8,1.0,3.6,4.6,2.7,1.4,1.6,0.5,1.7,24.4,1,0,4.0
Immanuel_Quickley,NYK,22,60,24,36,21.5,9.8,3.3,8.6,37.9,1.7,4.9,33.8,1.7,1.8,92.5,0.4,2.2,2.6,3.0,1.3,0.6,0.1,2.2,18.0,1,0,2.6
Marvin_Bagley_III,DET,22,35,13,22,21.9,9.8,4.1,8.6,47.5,0.5,2.0,22.9,1.1,1.7,67.8,2.3,4.7,7.0,0.6,0.7,0.3,0.3,1.7,20.4,4,0,-1.9
Nassir_Little,POR,22,42,19,23,25.9,9.8,3.5,7.5,46.0,1.2,3.7,33.1,1.6,2.2,73.4,1.4,4.2,5.6,1.3,1.0,0.6,0.9,2.0,21.8,3,0,-0.5
Cam_Thomas,BKN,20,54,22,32,19.4,9.7,3.7,8.6,43.5,0.8,3.0,27.4,1.4,1.6,83.1,0.2,2.3,2.6,1.4,0.9,0.5,0.1,1.0,15.9,0,0,-1.6
Darius_Bazley,OKC,21,59,18,41,27.5,9.7,3.6,8.9,40.2,1.0,3.6,28.6,1.5,2.2,69.5,1.1,5.4,6.5,1.4,1.3,0.9,1.1,0.9,24.3,5,0,-5.7
Caleb_Martin,MIA,26,50,32,18,23.1,9.6,3.7,7.1,52.1,1.0,2.7,39.1,1.2,1.6,75.6,1.3,2.7,4.0,1.1,0.8,1.0,0.5,1.7,19.7,1,0,2.4
Gabe_Vincent,MIA,25,56,38,18,24.7,9.6,3.5,8.0,43.1,1.9,5.1,38.0,0.8,0.9,80.8,0.4,1.6,2.0,3.4,1.5,1.0,0.2,2.5,19.1,0,0,2.2
Jae_Crowder,PHX,31,54,43,11,28.4,9.6,3.3,7.9,41.2,1.9,5.2,35.3,1.2,1.5,80.5,0.4,4.8,5.3,1.7,0.8,1.4,0.4,2.5,23.1,1,0,5.9
Bryn_Forbes,DEN,28,61,28,33,18.0,9.6,3.4,7.7,43.9,1.7,4.0,42.6,1.1,1.2,89.2,0.1,1.3,1.4,1.1,0.9,0.4,0.1,1.3,13.3,0,0,0.4
JaVale_McGee,PHX,34,58,46,12,15.7,9.4,4.0,6.3,64.0,0.0,0.1,28.6,1.3,1.9,68.8,2.2,4.5,6.7,0.6,1.3,0.3,1.1,2.4,21.2,8,0,2.1
Herbert_Jones,NOP,23,61,27,34,30.1,9.4,3.5,7.3,48.2,0.7,2.0,34.5,1.7,1.9,86.3,1.3,2.6,4.0,2.1,1.3,1.6,0.9,3.1,23.3,1,0,1.0
Talen_Horton-Tucker,LAL,21,46,20,26,25.9,9.3,3.5,8.5,41.2,0.8,3.0,27.5,1.5,1.9,80.5,0.6,2.6,3.2,2.7,1.5,0.9,0.5,2.5,20.0,1,0,-1.2
Georges_Niang,PHI,28,59,38,21,23.1,9.3,3.3,7.6,43.4,2.0,5.0,39.7,0.7,0.9,86.3,0.4,2.3,2.6,1.5,0.8,0.4,0.2,2.6,15.6,0,0,2.2
Shake_Milton,PHI,25,36,22,14,23.3,9.3,3.6,8.5,42.0,0.8,2.6,28.7,1.4,1.6,86.2,0.6,2.4,3.0,2.6,1.1,0.6,0.4,2.0,18.7,0,0,-1.0
Jaden_McDaniels,MIN,21,62,35,27,26.0,9.2,3.6,8.0,45.1,1.2,3.7,31.3,0.8,1.0,78.1,1.1,3.1,4.2,1.2,1.1,0.8,0.7,3.3,19.5,0,0,-0.2
Kelly_Olynyk,DET,30,27,8,19,19.8,9.2,3.3,8.0,41.4,1.1,3.3,33.7,1.5,2.1,70.7,1.5,3.3,4.8,2.8,1.5,0.8,0.5,2.5,21.6,1,0,-3.7
Tre_Mann,OKC,21,51,16,35,21.3,9.2,3.4,8.9,38.3,1.4,4.0,34.5,1.0,1.3,75.8,0.3,2.2,2.5,1.3,1.0,0.8,0.2,1.7,16.1,0,0,-3.5
Rui_Hachimura,WAS,24,23,10,13,18.9,9.2,3.4,7.3,46.7,1.2,2.3,51.9,1.1,1.4,78.1,0.3,2.7,3.1,1.0,0.7,0.6,0.2,1.2,16.1,0,0,-2.1
Josh_Richardson,SAS,28,48,28,20,23.8,9.2,3.3,7.5,43.6,1.4,3.4,39.9,1.3,1.5,85.9,0.6,2.1,2.7,1.5,0.8,0.7,0.5,1.8,17.6,0,0,1.8
Patrick_Beverley,MIN,33,45,26,19,26.2,9.1,3.1,7.8,40.0,1.5,4.4,33.8,1.4,2.0,71.1,1.1,3.1,4.2,4.9,1.4,1.2,0.9,3.1,26.4,2,0,2.3
